Word,LFS,PLFS,RLP,HLT,WSA,OS,ODS,ExpectedGuesses
ZEALS,0.372,0.378,0.0,0.544,0.256,1.0,0.42,3.97
MAZEL,0.536,0.437,0.0,0.845,0.384,0.699,0.489,4.212
SPUTA,0.461,0.549,0.0,0.578,0.284,1.0,0.477,4.17
GOORY,0.599,0.441,1.0,0.461,0.472,1.0,0.656,4.796
PAILS,0.41,0.225,0.0,0.496,0.503,0.684,0.389,3.862
SCOGS,0.447,0.384,1.0,0.685,0.406,1.0,0.633,4.716
SNOOL,0.412,0.519,1.0,0.668,0.729,1.0,0.69,4.915
POBOY,0.676,0.492,1.0,0.842,0.996,1.0,0.818,5.363
DOEST,0.364,0.503,0.0,0.376,0.203,0.861,0.382,3.837
ORIXA,0.52,0.669,0.0,0.834,0.223,1.0,0.539,4.386
QUIPO,0.744,0.655,0.0,0.826,0.771,1.0,0.674,4.859
BURBS,0.624,0.358,1.0,0.861,0.363,0.69,0.647,4.764
GOADS,0.437,0.294,0.0,0.742,0.309,1.0,0.461,4.114
BLAUD,0.632,0.543,0.0,0.748,0.304,1.0,0.547,4.414
FLOCS,0.586,0.467,0.0,0.862,0.391,1.0,0.554,4.439
HARIM,0.558,0.446,0.0,0.175,0.3,1.0,0.428,3.998
MAMEY,0.519,0.331,1.0,0.399,0.42,1.0,0.602,4.607
PRIMP,0.701,0.575,1.0,0.426,0.382,0.878,0.664,4.824
LATHY,0.613,0.525,0.0,0.272,0.492,1.0,0.497,4.24
LUNES,0.413,0.26,0.0,0.281,0.565,0.693,0.373,3.806
STAPS,0.314,0.344,1.0,0.471,0.337,1.0,0.551,4.428
SALAD,0.308,0.314,1.0,0.208,0.541,0.112,0.403,3.91
AGONY,0.577,0.586,0.0,0.546,0.584,0.548,0.484,4.194
GUSLI,0.57,0.64,0.0,0.686,0.677,1.0,0.593,4.576
DAMPS,0.511,0.391,0.0,0.717,0.663,1.0,0.543,4.4
TOCKS,0.571,0.401,0.0,0.629,0.335,1.0,0.498,4.243
HOICK,0.727,0.535,0.0,0.565,0.304,1.0,0.542,4.397
MARRY,0.533,0.354,1.0,0.406,0.479,0.228,0.503,4.26
AMPLY,0.641,0.679,0.0,0.615,0.616,0.677,0.548,4.418
GLISK,0.61,0.629,0.0,0.711,0.71,1.0,0.61,4.635
PULIS,0.551,0.338,0.0,0.446,0.67,1.0,0.506,4.271
APTER,0.397,0.536,0.0,0.271,0.052,0.798,0.348,3.718
SHELL,0.434,0.516,1.0,0.131,0.641,0.049,0.459,4.107
CAPAS,0.369,0.317,1.0,0.343,0.451,1.0,0.559,4.456
SAUNF,0.509,0.416,0.0,0.677,0.443,1.0,0.508,4.278
KUTIS,0.576,0.457,0.0,0.65,0.336,1.0,0.51,4.285
TEGGS,0.505,0.455,1.0,0.829,0.39,1.0,0.677,4.87
HALSH,0.505,0.528,1.0,0.309,0.652,1.0,0.65,4.775
GAMMA,0.548,0.557,1.0,0.596,0.901,0.028,0.599,4.596
TARDY,0.556,0.383,0.0,0.558,0.138,0.679,0.403,3.91
TEASE,0.141,0.429,1.0,0.036,0.179,0.495,0.356,3.746
TOWTS,0.543,0.388,1.0,0.64,0.509,1.0,0.666,4.831
ABUTS,0.481,0.496,0.0,0.576,0.225,0.699,0.42,3.97
ALLEE,0.257,0.416,1.0,0.124,0.113,0.689,0.416,3.956
CHINS,0.599,0.398,0.0,0.087,0.379,0.689,0.383,3.84
ROLLY,0.583,0.444,1.0,0.331,0.313,0.699,0.564,4.474
SITUS,0.39,0.335,1.0,0.246,0.303,0.682,0.482,4.187
BARDS,0.454,0.239,0.0,0.508,0.276,0.68,0.369,3.792
PHYMA,0.701,0.708,0.0,0.909,0.932,1.0,0.708,4.978
TORRS,0.389,0.253,1.0,0.213,0.239,1.0,0.503,4.26
CHACE,0.543,0.522,1.0,0.202,0.225,0.703,0.534,4.369
BIKKY,0.843,0.597,1.0,0.997,0.933,1.0,0.89,5.615
STOOR,0.373,0.52,1.0,0.054,0.233,1.0,0.514,4.299
QUINK,0.825,0.631,0.0,0.701,0.658,1.0,0.655,4.792
WEDGY,0.727,0.633,0.0,0.86,0.646,1.0,0.653,4.786
VISES,0.335,0.358,1.0,0.06,0.669,0.695,0.501,4.254
SWORE,0.384,0.481,0.0,0.302,0.212,0.641,0.341,3.694
UPSEE,0.325,0.586,1.0,0.64,0.278,1.0,0.607,4.624
GYVES,0.585,0.455,0.0,0.876,0.756,1.0,0.609,4.632
HEAPY,0.532,0.49,0.0,0.512,0.292,1.0,0.477,4.17
GILAS,0.429,0.353,0.0,0.348,0.527,1.0,0.441,4.044
GAIRS,0.398,0.283,0.0,0.539,0.242,1.0,0.409,3.932
YONIC,0.656,0.543,0.0,0.163,0.374,1.0,0.476,4.166
WAGON,0.619,0.592,0.0,0.423,0.68,0.192,0.438,4.033
RANCE,0.411,0.425,0.0,0.095,0.198,0.689,0.314,3.599
SWAIL,0.454,0.479,0.0,0.639,0.194,1.0,0.46,4.11
LAXED,0.532,0.463,0.0,0.872,0.228,1.0,0.517,4.31
PANNE,0.446,0.351,1.0,0.275,0.29,0.719,0.507,4.274
TABUS,0.481,0.399,0.0,0.48,0.3,0.836,0.422,3.977
ANOMY,0.558,0.599,0.0,0.363,0.613,1.0,0.526,4.341
SWARM,0.489,0.512,0.0,0.583,0.276,0.589,0.416,3.956
SWORD,0.542,0.521,0.0,0.591,0.241,0.113,0.355,3.742
PHARM,0.623,0.545,0.0,0.447,0.349,0.595,0.446,4.061
PENES,0.306,0.163,1.0,0.047,0.622,0.73,0.461,4.114
SNOEK,0.404,0.395,0.0,0.945,0.624,1.0,0.546,4.411
RAZET,0.462,0.444,0.0,0.825,0.22,1.0,0.489,4.212
NAHAL,0.462,0.593,1.0,0.889,0.739,1.0,0.749,5.122
KAPUS,0.527,0.448,0.0,0.825,0.654,1.0,0.571,4.498
LOKEY,0.559,0.427,0.0,0.772,0.733,1.0,0.58,4.53
GOBOS,0.53,0.416,1.0,0.751,1.0,1.0,0.758,5.153
JAILS,0.48,0.334,0.0,0.724,0.503,0.634,0.449,4.072
AFARS,0.327,0.429,1.0,0.544,0.115,1.0,0.545,4.408
NERKA,0.427,0.522,0.0,0.541,0.293,1.0,0.46,4.11
CUNDY,0.788,0.505,0.0,0.69,0.396,1.0,0.586,4.551
SNARK,0.432,0.493,0.0,0.937,0.27,0.662,0.462,4.117
INTRA,0.465,0.738,0.0,0.033,0.086,0.324,0.293,3.526
BUNDH,0.815,0.551,0.0,0.683,0.774,1.0,0.655,4.792
TANGA,0.468,0.452,1.0,0.123,0.423,0.683,0.519,4.316
BAAED,0.368,0.239,1.0,0.928,0.109,1.0,0.583,4.54
SOLUS,0.359,0.239,1.0,0.504,0.709,0.691,0.561,4.464
SENOR,0.305,0.399,0.0,0.034,0.297,0.673,0.287,3.504
UMAMI,0.604,0.705,1.0,0.52,0.272,0.88,0.658,4.803
WARED,0.473,0.311,0.0,0.062,0.159,1.0,0.348,3.718
SHARP,0.459,0.483,0.0,0.413,0.276,0.04,0.297,3.54
PEWED,0.539,0.441,1.0,0.355,0.643,1.0,0.651,4.778
TUKTU,0.746,0.658,1.0,0.958,0.404,1.0,0.79,5.265
KNOWD,0.77,0.706,0.0,0.953,0.793,1.0,0.71,4.985
DAWDS,0.544,0.424,1.0,0.955,0.663,1.0,0.742,5.097
FLURR,0.667,0.657,1.0,0.826,0.239,1.0,0.725,5.038
INERT,0.454,0.704,0.0,0.012,0.152,0.612,0.335,3.673
TAXUS,0.532,0.434,0.0,0.95,0.3,0.732,0.495,4.232
RUANA,0.399,0.492,1.0,0.886,0.133,1.0,0.626,4.691
SULCI,0.557,0.503,0.0,0.789,0.122,1.0,0.501,4.254
JADED,0.566,0.465,1.0,0.465,0.238,0.65,0.564,4.474
OTHYL,0.677,0.883,0.0,0.735,0.472,1.0,0.633,4.716
REDIG,0.541,0.607,0.0,0.124,0.316,1.0,0.442,4.047
MANKY,0.674,0.407,0.0,0.766,0.826,1.0,0.618,4.663
OVISM,0.575,0.726,0.0,0.589,0.748,1.0,0.603,4.61
MATLO,0.504,0.487,0.0,0.34,0.311,1.0,0.447,4.064
CEASE,0.19,0.418,1.0,0.083,0.178,0.245,0.336,3.676
PERAE,0.271,0.344,1.0,0.52,0.235,1.0,0.533,4.366
SIXES,0.351,0.26,1.0,0.844,0.574,0.692,0.593,4.576
PUBCO,0.758,0.647,0.0,0.922,0.379,1.0,0.632,4.712
YAPPY,0.687,0.606,1.0,0.924,0.901,1.0,0.836,5.426
FAMED,0.547,0.398,0.0,0.308,0.263,0.572,0.368,3.788
HEXED,0.581,0.536,1.0,0.567,0.643,1.0,0.707,4.974
BAWRS,0.508,0.371,0.0,0.897,0.422,1.0,0.531,4.358
DECRY,0.594,0.571,0.0,0.444,0.196,0.689,0.433,4.016
IDDAH,0.614,0.778,1.0,0.859,0.667,1.0,0.799,5.296
DIXIT,0.729,0.652,1.0,0.877,0.336,0.677,0.714,4.999
CASED,0.348,0.354,0.0,0.084,0.098,0.67,0.268,3.438
RUPIA,0.526,0.617,0.0,0.807,0.278,1.0,0.537,4.38
TOIDY,0.632,0.429,0.0,0.759,0.29,1.0,0.53,4.355
HODAD,0.586,0.544,1.0,0.465,0.745,1.0,0.71,4.985
YUKES,0.517,0.425,0.0,0.935,0.708,1.0,0.589,4.562
GAFFE,0.615,0.588,1.0,0.835,0.302,0.697,0.667,4.834
ANNOY,0.522,0.568,1.0,0.631,0.613,0.553,0.635,4.722
LEUGH,0.646,0.619,0.0,0.79,0.578,1.0,0.61,4.635
HOWAY,0.651,0.537,0.0,0.513,0.787,1.0,0.588,4.558
PIXEL,0.634,0.499,0.0,0.955,0.631,0.113,0.488,4.208
LINGA,0.558,0.564,0.0,0.093,0.541,1.0,0.469,4.142
BAYOU,0.596,0.574,0.0,0.473,0.714,0.563,0.498,4.243
LURGY,0.724,0.517,0.0,0.883,0.279,1.0,0.583,4.54
LEARS,0.231,0.323,0.0,0.071,0.197,1.0,0.296,3.536
SCRAT,0.408,0.447,0.0,0.335,0.204,1.0,0.4,3.9
PRIZE,0.596,0.526,0.0,0.8,0.264,0.062,0.397,3.89
HOMES,0.432,0.272,0.0,0.071,0.796,0.015,0.281,3.484
SCROO,0.422,0.499,1.0,0.554,0.087,1.0,0.576,4.516
EGEST,0.318,0.725,1.0,0.157,0.27,1.0,0.552,4.432
MOPUS,0.569,0.405,0.0,0.613,0.887,1.0,0.578,4.523
VERBS,0.508,0.408,0.0,0.622,0.347,0.523,0.412,3.942
MAPLE,0.472,0.475,0.0,0.355,0.285,0.103,0.301,3.553
BARFS,0.504,0.262,0.0,0.843,0.433,1.0,0.507,4.274
JUDGE,0.736,0.684,0.0,0.924,0.386,0.032,0.488,4.208
SALLE,0.262,0.31,1.0,0.112,0.25,0.56,0.4,3.9
SHINE,0.424,0.434,0.0,0.093,0.291,0.17,0.254,3.389
ZINEB,0.658,0.5,0.0,0.578,0.637,1.0,0.572,4.502
FLEXO,0.646,0.695,0.0,0.94,0.599,0.692,0.6,4.6
GISMO,0.539,0.651,0.0,0.597,0.786,1.0,0.59,4.565
REARS,0.199,0.302,1.0,0.029,0.203,0.683,0.382,3.837
KHADS,0.548,0.46,0.0,0.808,0.336,1.0,0.528,4.348
BEGUM,0.696,0.63,0.0,0.785,0.673,0.696,0.592,4.572
GLADE,0.48,0.536,0.0,0.54,0.076,0.588,0.381,3.834
IMAMS,0.457,0.527,1.0,0.579,0.256,0.692,0.572,4.502
STRAD,0.391,0.439,0.0,0.167,0.107,1.0,0.355,3.742
VENAE,0.367,0.48,1.0,0.916,0.278,1.0,0.643,4.751
SKENE,0.329,0.496,1.0,0.499,0.288,0.704,0.53,4.355
MOTEN,0.503,0.37,0.0,0.101,0.378,1.0,0.403,3.91
RUGBY,0.789,0.648,0.0,0.96,0.351,0.077,0.503,4.26
GOELS,0.391,0.324,0.0,0.783,0.732,1.0,0.524,4.334
KHAZI,0.722,0.674,0.0,0.983,0.307,1.0,0.625,4.688
BELIT,0.54,0.48,0.0,0.142,0.221,1.0,0.411,3.938
SMOLT,0.498,0.517,0.0,0.714,0.475,0.699,0.485,4.198
MORIN,0.573,0.397,0.0,0.034,0.296,0.649,0.35,3.725
OFAYS,0.469,0.545,0.0,0.613,0.347,1.0,0.493,4.226
SURAL,0.383,0.372,0.0,0.186,0.171,1.0,0.355,3.742
JANNY,0.686,0.47,1.0,0.761,0.798,1.0,0.776,5.216
SHORT,0.481,0.492,0.0,0.19,0.222,0.009,0.257,3.399
SWISH,0.508,0.55,1.0,0.509,0.69,0.611,0.631,4.708
HAETS,0.324,0.309,0.0,0.653,0.258,1.0,0.414,3.949
OWNED,0.579,0.541,0.0,0.47,0.632,0.029,0.396,3.886
MUSKY,0.686,0.579,0.0,0.957,0.912,0.692,0.643,4.751
GIMPS,0.632,0.477,0.0,0.815,0.885,0.889,0.618,4.663
NODES,0.371,0.296,0.0,0.182,0.59,0.089,0.266,3.431
LEFTY,0.627,0.604,0.0,0.537,0.36,0.608,0.473,4.156
FURCA,0.638,0.547,0.0,0.583,0.215,1.0,0.511,4.288
EXOME,0.483,0.678,1.0,0.822,0.518,1.0,0.723,5.03
DRIBS,0.546,0.443,0.0,0.838,0.268,1.0,0.519,4.316
GOUKS,0.61,0.383,0.0,0.882,0.887,1.0,0.625,4.688
SMEWS,0.39,0.428,1.0,0.698,0.663,1.0,0.666,4.831
MUNTS,0.585,0.339,0.0,0.426,0.354,1.0,0.464,4.124
CHIRO,0.628,0.581,0.0,0.283,0.175,0.698,0.418,3.963
LEARN,0.359,0.494,0.0,0.164,0.22,0.006,0.222,3.277
MOCUS,0.575,0.399,0.0,0.621,0.436,1.0,0.512,4.292
SLIME,0.4,0.456,0.0,0.493,0.312,0.619,0.382,3.837
MOKIS,0.543,0.375,0.0,0.655,0.792,1.0,0.559,4.456
NEVIS,0.464,0.482,0.0,0.279,0.454,0.221,0.331,3.658
ARCUS,0.434,0.513,0.0,0.449,0.095,0.697,0.372,3.802
PRIGS,0.555,0.379,0.0,0.547,0.353,1.0,0.481,4.184
RENTE,0.351,0.441,1.0,0.003,0.106,1.0,0.47,4.145
YFERE,0.47,0.683,1.0,0.397,0.273,1.0,0.62,4.67
HIKER,0.569,0.535,0.0,0.523,0.442,0.639,0.463,4.12
CRAME,0.447,0.492,0.0,0.356,0.206,1.0,0.42,3.97
IRKED,0.545,0.614,0.0,0.591,0.26,0.698,0.461,4.114
NAIRA,0.35,0.468,1.0,0.838,0.25,0.675,0.572,4.502
STIRE,0.325,0.466,0.0,0.035,0.11,1.0,0.323,3.63
NAGAS,0.347,0.377,1.0,0.86,0.745,0.887,0.667,4.834
PEISY,0.445,0.438,0.0,0.59,0.588,1.0,0.504,4.264
MISER,0.369,0.443,0.0,0.059,0.378,0.687,0.327,3.644
VIVDA,0.719,0.722,1.0,0.852,0.671,1.0,0.816,5.356
DOLIE,0.46,0.427,0.0,0.374,0.268,1.0,0.425,3.988
WEAVE,0.446,0.515,1.0,0.348,0.255,0.504,0.505,4.268
UMBEL,0.632,0.677,0.0,0.63,0.629,1.0,0.598,4.593
BARMY,0.629,0.377,0.0,0.68,0.5,0.799,0.511,4.288
LOUNS,0.488,0.365,0.0,0.258,0.659,1.0,0.464,4.124
DIDOS,0.499,0.459,1.0,0.496,0.782,1.0,0.685,4.898
VIOLD,0.683,0.576,0.0,0.434,0.72,1.0,0.58,4.53
FOWTH,0.805,0.596,0.0,0.535,0.521,1.0,0.599,4.596
GUQIN,0.821,0.702,0.0,0.997,0.738,1.0,0.721,5.024
KAYOS,0.451,0.447,0.0,0.765,0.674,1.0,0.546,4.411
FINCA,0.631,0.564,0.0,0.163,0.29,0.673,0.411,3.938
TATHS,0.45,0.365,1.0,0.255,0.466,1.0,0.575,4.512
ELIAD,0.396,0.587,0.0,0.309,0.165,1.0,0.408,3.928
DORTS,0.456,0.253,0.0,0.226,0.142,1.0,0.357,3.75
COOEY,0.495,0.271,1.0,0.752,0.432,1.0,0.642,4.747
DICTY,0.731,0.572,0.0,0.326,0.168,1.0,0.493,4.226
BOBAK,0.653,0.525,1.0,0.831,0.787,1.0,0.785,5.248
LOWSE,0.415,0.574,0.0,0.499,0.35,1.0,0.467,4.134
TUILE,0.504,0.473,0.0,0.519,0.074,1.0,0.436,4.026
LAKED,0.484,0.437,0.0,0.512,0.228,1.0,0.448,4.068
TARTS,0.359,0.215,1.0,0.148,0.266,0.636,0.43,4.005
REEFY,0.47,0.53,1.0,0.637,0.433,1.0,0.658,4.803
AGAMA,0.389,0.613,1.0,0.474,0.307,0.824,0.58,4.53
THING,0.733,0.601,0.0,0.005,0.272,0.01,0.316,3.606
SHORE,0.355,0.449,0.0,0.068,0.212,0.08,0.21,3.235
NICKS,0.607,0.512,0.0,0.602,0.418,0.635,0.477,4.17
NUNNY,0.721,0.539,1.0,0.841,0.789,1.0,0.806,5.321
AKOYA,0.458,0.675,1.0,0.972,0.688,0.687,0.718,5.013
SNAWS,0.366,0.36,1.0,0.987,0.442,1.0,0.66,4.81
WRITS,0.537,0.419,0.0,0.517,0.156,0.683,0.4,3.9
DOUBT,0.699,0.563,0.0,0.88,0.369,0.049,0.454,4.089
ALIVE,0.46,0.573,0.0,0.188,0.092,0.062,0.252,3.382
BEAUT,0.476,0.466,0.0,0.444,0.068,0.694,0.37,3.795
IBRIK,0.677,0.676,1.0,0.866,0.341,1.0,0.752,5.132
HEMPS,0.525,0.476,0.0,0.486,0.704,1.0,0.531,4.358
TOWED,0.571,0.429,0.0,0.221,0.33,0.643,0.386,3.851
CROUT,0.619,0.57,0.0,0.352,0.073,1.0,0.454,4.089
MOGUL,0.707,0.58,0.0,0.783,0.771,0.631,0.592,4.572
HALID,0.579,0.471,0.0,0.174,0.537,1.0,0.472,4.152
PECKY,0.704,0.542,0.0,0.814,0.401,1.0,0.59,4.565
ECHED,0.516,0.683,1.0,0.051,0.318,1.0,0.587,4.554
MUSIT,0.554,0.575,0.0,0.36,0.292,1.0,0.473,4.156
COUTH,0.711,0.492,0.0,0.051,0.197,1.0,0.439,4.036
ACRON,0.486,0.589,0.0,0.22,0.191,1.0,0.422,3.977
DYNES,0.466,0.327,0.0,0.722,0.604,0.824,0.488,4.208
GOTHY,0.741,0.538,0.0,0.571,0.541,1.0,0.583,4.54
BUNDY,0.801,0.501,0.0,0.668,0.774,0.656,0.59,4.565
SEEPS,0.177,0.279,1.0,0.539,0.606,0.691,0.511,4.288
DEEPS,0.331,0.391,1.0,0.573,0.628,0.742,0.583,4.54
PLENE,0.425,0.511,1.0,0.126,0.363,1.0,0.556,4.446
KUKUS,0.691,0.56,1.0,0.993,0.912,1.0,0.842,5.447
PETRE,0.386,0.475,1.0,0.131,0.13,0.698,0.462,4.117
PUTTO,0.647,0.55,1.0,0.492,0.39,1.0,0.677,4.87
DARLS,0.389,0.246,0.0,0.545,0.207,1.0,0.397,3.89
WARPS,0.488,0.314,0.0,0.728,0.433,0.697,0.448,4.068
SHOJI,0.605,0.572,0.0,0.968,0.658,0.686,0.584,4.544
EMOJI,0.586,0.762,0.0,0.969,0.647,1.0,0.653,4.786
HIKED,0.636,0.529,0.0,0.625,0.629,0.677,0.528,4.348
OMITS,0.478,0.489,0.0,0.236,0.307,0.678,0.376,3.816
RAINY,0.509,0.394,0.0,0.287,0.234,0.405,0.325,3.638
FILLS,0.563,0.393,1.0,0.441,0.769,0.38,0.588,4.558
ZINES,0.474,0.303,0.0,0.286,0.591,0.605,0.386,3.851
BORES,0.36,0.102,0.0,0.03,0.411,0.68,0.273,3.456
ALGOR,0.489,0.677,0.0,0.623,0.225,0.781,0.468,4.138
OLIVA,0.536,0.675,0.0,0.528,0.521,0.644,0.489,4.212
MIDGE,0.618,0.58,0.0,0.748,0.355,0.678,0.509,4.282
VIZOR,0.726,0.723,0.0,0.849,0.356,1.0,0.621,4.674
HAFTA,0.539,0.584,1.0,0.554,0.499,0.77,0.646,4.761
MULLA,0.578,0.533,1.0,0.556,0.655,0.821,0.679,4.876
PALED,0.461,0.282,0.0,0.091,0.226,0.791,0.324,3.634
KNEED,0.483,0.534,1.0,0.511,0.623,0.815,0.643,4.751
FIBRE,0.591,0.603,0.0,0.608,0.269,0.195,0.399,3.896
PTISH,0.585,0.608,0.0,0.327,0.362,1.0,0.491,4.218
REDAN,0.395,0.565,0.0,0.024,0.112,0.725,0.313,3.596
EXODE,0.473,0.67,1.0,0.892,0.411,1.0,0.714,4.999
ZORRO,0.567,0.521,1.0,0.705,0.336,0.606,0.617,4.659
DROLL,0.572,0.58,1.0,0.435,0.214,0.69,0.581,4.534
NIECE,0.411,0.563,1.0,0.278,0.247,0.589,0.504,4.264
SEGNO,0.401,0.506,0.0,0.606,0.422,0.699,0.435,4.022
SCEAT,0.316,0.498,0.0,0.14,0.208,1.0,0.356,3.746
TUNES,0.415,0.229,0.0,0.201,0.27,0.151,0.231,3.308
MOMPE,0.582,0.504,1.0,0.446,0.518,1.0,0.666,4.831
RADON,0.47,0.543,0.0,0.189,0.232,0.589,0.35,3.725
AKKAS,0.409,0.535,1.0,0.978,0.606,1.0,0.72,5.02
JOWLY,0.819,0.61,0.0,0.939,0.884,1.0,0.72,5.02
GANDY,0.66,0.441,0.0,0.429,0.669,0.687,0.499,4.246
MEDII,0.534,0.579,1.0,0.584,0.571,1.0,0.694,4.929
KNELT,0.574,0.669,0.0,0.689,0.294,0.665,0.491,4.218
EVOKE,0.49,0.669,1.0,0.884,0.518,0.626,0.677,4.87
LOWTS,0.541,0.418,0.0,0.739,0.511,1.0,0.535,4.373
TEAKS,0.332,0.311,0.0,0.515,0.222,1.0,0.39,3.865
BUCKO,0.781,0.641,0.0,0.895,0.414,1.0,0.638,4.733
GROKS,0.55,0.435,0.0,0.769,0.398,0.699,0.483,4.19
LEAFY,0.512,0.496,0.0,0.74,0.274,0.636,0.45,4.075
MESES,0.178,0.258,1.0,0.008,0.699,0.695,0.444,4.054
SYNES,0.312,0.215,1.0,0.681,0.584,1.0,0.6,4.6
LATHS,0.448,0.396,0.0,0.278,0.465,1.0,0.433,4.016
ZEDAS,0.407,0.475,0.0,0.519,0.171,1.0,0.426,3.991
BLANK,0.647,0.538,0.0,0.446,0.469,0.055,0.388,3.858
JAPED,0.576,0.471,0.0,0.613,0.263,1.0,0.496,4.236
VOLED,0.58,0.404,0.0,0.469,0.619,1.0,0.519,4.316
TOXIC,0.718,0.603,0.0,0.839,0.171,0.11,0.438,4.033
REACH,0.461,0.51,0.0,0.068,0.213,0.028,0.238,3.333
NAZZY,0.78,0.638,1.0,1.0,0.826,1.0,0.865,5.528
PUBSY,0.682,0.589,0.0,0.949,0.78,1.0,0.668,4.838
PEDRO,0.494,0.571,0.0,0.358,0.332,0.235,0.348,3.718
CUCKS,0.697,0.468,1.0,0.846,0.45,1.0,0.739,5.086
BAITH,0.611,0.407,0.0,0.17,0.236,1.0,0.425,3.988
MAGAS,0.383,0.319,1.0,0.377,0.82,1.0,0.623,4.68
GOMPA,0.611,0.576,0.0,0.542,0.787,1.0,0.588,4.558
BILBY,0.772,0.526,1.0,0.849,0.808,0.875,0.802,5.307
POPES,0.416,0.222,1.0,0.259,0.796,0.657,0.544,4.404
HENTS,0.447,0.353,0.0,0.02,0.308,1.0,0.364,3.774
AURAS,0.27,0.292,1.0,0.335,0.223,0.696,0.449,4.072
GIDDY,0.777,0.617,1.0,0.887,0.833,0.66,0.794,5.279
TACOS,0.391,0.361,0.0,0.227,0.174,0.657,0.311,3.588
ONNED,0.5,0.526,1.0,0.174,0.632,1.0,0.625,4.688
BOWED,0.634,0.415,0.0,0.439,0.709,0.614,0.485,4.198
TSARS,0.238,0.422,1.0,0.181,0.226,1.0,0.484,4.194
SLOGS,0.395,0.342,1.0,0.839,0.822,1.0,0.699,4.946
GRIND,0.674,0.561,0.0,0.084,0.283,0.403,0.368,3.788
MOREL,0.459,0.284,0.0,0.058,0.399,0.666,0.326,3.641
ASADA,0.196,0.603,1.0,0.313,0.247,0.718,0.481,4.184
WEEKE,0.403,0.539,1.0,0.786,0.42,1.0,0.662,4.817
WINNA,0.593,0.555,1.0,0.812,0.6,1.0,0.743,5.1
AMMAN,0.493,0.663,1.0,0.308,0.628,0.615,0.605,4.618
SABJI,0.545,0.523,0.0,0.972,0.474,1.0,0.582,4.537
RUNTS,0.507,0.358,0.0,0.39,0.1,1.0,0.404,3.914
SLOPS,0.376,0.343,1.0,0.798,0.822,1.0,0.688,4.908
TREAD,0.387,0.528,0.0,0.113,0.044,0.534,0.28,3.48
