Word,OS
RADON,0.589
AKKAS,1.0
JOWLY,1.0
GANDY,0.687
MEDII,1.0
KNELT,0.665
EVOKE,0.626
LOWTS,1.0
TEAKS,1.0
BUCKO,1.0
GROKS,0.699
LEAFY,0.636
MESES,0.695
SYNES,1.0
LATHS,1.0
ZEDAS,1.0
BLANK,0.055
JAPED,1.0
VOLED,1.0
TOXIC,0.11
REACH,0.028
NAZZY,1.0
PUBSY,1.0
PEDRO,0.235
CUCKS,1.0
BAITH,1.0
MAGAS,1.0
GOMPA,1.0
BILBY,0.875
POPES,0.657
HENTS,1.0
AURAS,0.696
GIDDY,0.66
TACOS,0.657
ONNED,1.0
BOWED,0.614
TSARS,1.0
SLOGS,1.0
GRIND,0.403
MOREL,0.666
ASADA,0.718
WEEKE,1.0
WINNA,1.0
AMMAN,0.615
SABJI,1.0
RUNTS,1.0
SLOPS,1.0
TREAD,0.534
LOOFA,1.0
FEVER,0.117
GLOVE,0.212
TRIST,1.0
CREPS,1.0
PHEON,1.0
BERES,0.699
CORSO,0.606
SOFAR,1.0
REEZE,1.0
PISOS,0.687
LAMES,1.0
TRECK,1.0
BOABS,1.0
APPLY,0.013
GRATA,0.798
DAALS,1.0
SOYAS,1.0
AMOUR,0.569
GERNE,0.699
DUDES,0.59
NIFLE,1.0
AGAIN,0.007
SLURP,0.658
ULNAR,0.696
ETTIN,1.0
NOLES,0.878
GOBAR,1.0
BOHOS,1.0
KAWAS,1.0
RADGY,1.0
COATI,1.0
SCAIL,1.0
HELOT,1.0
MOTEL,0.109
TIDES,0.512
COVEN,0.679
JASEY,1.0
FLOWN,0.526
URUBU,1.0
KIDDO,0.696
NRTYA,1.0
PINNA,0.849
CURBS,0.66
BOTAS,0.871
CYCLE,0.034
YUGAS,1.0
UGALI,1.0
OPTER,1.0
LAVER,0.686
OUSTS,0.787
OOTID,1.0
EASEL,0.627
LEWIS,0.044
RENOS,1.0
PANED,0.831
CUNIT,1.0
MUILS,1.0
JEHUS,1.0
EBIKE,1.0
COTCH,1.0
UPPER,0.026
THEOR,0.679
UNAIS,1.0
IDIOT,0.216
MANES,0.693
SAWER,1.0
GAZOO,1.0
EDGED,0.545
PIKEY,1.0
MEECH,0.828
ADYTS,1.0
BOITE,0.69
IXIAS,1.0
ALIOS,1.0
PADLE,1.0
LOTAH,1.0
RAGAS,0.774
PUDUS,1.0
MEARE,1.0
GRAIP,1.0
QUACK,0.659
NOISE,0.04
LIVRE,0.641
PHEME,1.0
CHEST,0.074
LINED,0.172
AZLON,1.0
WAVES,0.091
ACHOO,1.0
VALVE,0.088
MAWKS,1.0
HYDRO,0.268
MUXED,1.0
ETUDE,0.675
SMITH,0.016
MENDS,0.825
PISCO,0.814
CILIA,0.694
ALGOS,1.0
NENES,1.0
KARMA,0.146
NEANT,1.0
VISIE,1.0
VOLAR,1.0
BURRO,0.692
DOETH,0.697
ECRUS,1.0
DEKES,1.0
SEEPY,1.0
FACTS,0.028
POURS,0.654
GAMBO,1.0
MENSA,0.674
SWEPT,0.383
OAFOS,1.0
SHOCK,0.067
ROAMS,0.707
POTTS,0.607
PIKER,0.823
TINGS,0.696
FOUNT,0.696
DAUNT,1.0
BATTU,1.0
LICIT,0.846
CIDER,0.527
FORDS,0.67
PALMS,0.32
WHEEP,1.0
COPES,0.691
WHELM,1.0
USNEA,1.0
STAID,0.69
DOSAI,1.0
PATKA,1.0
GAMAS,1.0
DROME,0.695
LICKS,0.588
ALDEA,1.0
SNOWY,0.539
QUODS,1.0
WAKER,0.689
SYPHS,1.0
STUMM,1.0
CHORE,0.651
SILTS,1.0
TOPEE,1.0
ZEINS,1.0
LIKIN,1.0
TOPIC,0.007
WAVED,0.619
WORSE,0.064
ANEAR,1.0
RAYAH,1.0
CLIPE,1.0
TELOI,1.0
THESP,1.0
DUSTS,0.686
POOCH,0.674
LUNTS,1.0
VINNY,0.659
PURDA,1.0
ZONDA,1.0
WIDEN,0.586
JONTY,1.0
MOSED,1.0
HUSSY,0.757
ESCAR,1.0
APPAY,1.0
TONIC,0.564
TAVAH,1.0
BUDOS,1.0
CURES,0.554
RETIA,1.0
MAILE,0.685
UNDEE,1.0
QUOIS,1.0
VANGS,1.0
KYTES,1.0
RENDS,1.0
TAIGA,0.689
ABETS,1.0
LICHT,0.668
POTAE,1.0
FUNKS,1.0
REPAS,1.0
SICHT,0.712
MOBES,1.0
CEORL,1.0
TORTE,0.694
SNARL,0.691
MIGHT,0.008
GENAS,1.0
WASHY,0.699
ETATS,0.675
BOINK,0.86
PEROG,1.0
CODEN,0.65
CROWN,0.06
MOITY,1.0
HELOS,1.0
MURKY,0.655
GAITT,1.0
DANCE,0.02
GRAIL,0.592
DEADS,1.0
MIVVY,1.0
FUGIO,1.0
URSID,1.0
BURIN,0.865
MIMSY,1.0
LOTUS,0.102
FRONS,1.0
DURST,0.668
DEVIS,0.833
PARAE,1.0
MANDS,0.797
SARIN,0.682
ETHIC,0.57
WHIRS,1.0
BRIBE,0.642
RORTY,0.699
NYMPH,0.637
BILLY,0.074
GIGHE,1.0
KALIF,1.0
BREDS,1.0
CUTEY,0.856
MINCY,1.0
MODOC,0.682
ALLIN,0.686
YESES,1.0
DWALM,1.0
BALMS,0.684
YUCCA,0.625
CYDER,1.0
LOPED,1.0
KAGUS,1.0
SMEEK,1.0
YLEMS,1.0
PEAGS,1.0
COMPS,0.619
NOBLY,0.698
COCOA,0.281
PEDON,1.0
HITHE,1.0
ETROG,1.0
DUMPS,0.584
MAGIC,0.027
BENDY,0.73
SEELY,0.692
SPAWN,0.51
OXIDS,1.0
HAKUS,1.0
GRADS,0.622
ABACS,1.0
FOCUS,0.015
HIDES,0.532
HAYED,1.0
STONY,0.51
SLIMS,0.691
TONKA,0.67
IDENT,0.625
TANSU,1.0
WHIRR,1.0
GLIKE,1.0
VOTES,0.031
SIGRI,1.0
CADES,0.75
LAYED,0.685
SNAIL,0.544
FYKES,1.0
OUSIA,1.0
NEVUS,0.716
WINGS,0.062
TOILE,0.661
JUNTA,0.644
CHAIR,0.025
REGIA,0.691
LAVVY,1.0
FATTY,0.186
BIPPY,1.0
HOODY,0.642
BUNCO,0.873
ZUPAN,0.865
SPEND,0.037
PHUBS,1.0
SLUSE,1.0
DWINE,1.0
PIETY,0.648
PYRUS,0.849
MOGUE,1.0
GLOWS,0.671
KUTCH,0.828
NGANA,1.0
PITON,1.0
SPALT,1.0
QIPAO,1.0
PAKKA,1.0
REDLY,1.0
FURZY,1.0
ARHAT,1.0
FUMER,1.0
ADDIN,0.693
CARDY,0.854
ZOOEA,1.0
CLEGS,1.0
DHALS,1.0
DESHI,1.0
MEANY,0.696
LENOS,1.0
CINES,1.0
SNEAP,1.0
BUSTI,1.0
BELTS,0.177
WEANS,1.0
GLOBE,0.069
DECAD,1.0
TINKS,1.0
BALLY,0.617
YOKES,0.696
ONSEN,0.724
LOVER,0.108
IDDAT,1.0
TERRY,0.072
POGEY,1.0
PLANH,1.0
LOTTE,0.684
CLIES,1.0
FEMES,1.0
DEEDY,1.0
ACNES,1.0
RUBLI,1.0
LOLOS,1.0
RAPES,0.636
MANSE,0.698
WIPED,0.554
SABHA,0.664
GAMER,0.318
AFEAR,1.0
ADRAW,1.0
OUTTA,0.563
SLAPS,0.673
TARKA,0.861
GOYLE,1.0
TOMIA,1.0
MISDO,1.0
SAYEE,1.0
POPSY,1.0
WATCH,0.011
RIPED,1.0
BATHS,0.175
TAILS,0.437
DINNA,1.0
CONIN,1.0
BUNYA,0.87
SKOOL,0.623
KHORS,1.0
HULKS,1.0
LACET,1.0
LAZES,1.0
SEAMS,0.571
SLYLY,0.7
JOINS,0.179
DOATS,1.0
PROKE,1.0
KINGY,1.0
RANNY,1.0
RAKER,0.878
SWOUN,1.0
GULAR,1.0
SEDUM,0.697
OPERA,0.055
PERNS,1.0
REDIA,1.0
TEKKE,1.0
APPEL,0.625
WAIST,0.199
BOLDS,1.0
STEER,0.463
PODGY,1.0
HUMFS,1.0
STAGY,1.0
OPGAF,1.0
SKEOS,1.0
SWERF,1.0
RHYTA,1.0
PIANS,1.0
ULANS,1.0
DIVER,0.408
PENNY,0.14
NANUA,1.0
ONLAP,1.0
LOYAL,0.222
BOHEA,1.0
LIRKS,1.0
SENTI,0.873
PLEON,1.0
DAMAN,0.679
SYNED,1.0
MOOLS,1.0
BAKED,0.212
RUNGS,0.692
BRACE,0.458
MELBA,0.678
SOTTO,0.681
DEALT,0.162
BIKES,0.093
FECIT,1.0
FLYER,0.175
SIDHE,0.698
RENGS,1.0
ALKYD,0.7
VENEY,1.0
STRAG,1.0
APODE,1.0
AIGAS,1.0
TORTS,0.63
SOOTH,0.696
STEAN,1.0
ALGIN,1.0
GUMMY,0.681
NDUJA,1.0
RATAN,0.865
DURUM,0.69
ACIES,1.0
UNIOS,1.0
PUNTS,0.672
FILOS,1.0
BLYPE,1.0
MOLAL,1.0
TIARA,0.613
RATAL,1.0
LOWEN,0.817
DAWTS,1.0
IDDUT,1.0
INDEW,1.0
SURFS,0.696
BRIMS,0.849
ABACI,1.0
TROKE,1.0
MIMED,1.0
ROSHA,1.0
ELATE,1.0
TILAK,0.7
CYCAS,1.0
ORNIS,1.0
JIVES,1.0
MERCY,0.146
DIMES,0.628
CRIES,0.513
AFFIX,0.664
OUGHT,0.133
ANSAS,1.0
BESTI,1.0
ROMER,0.684
GISMS,1.0
WHICH,0.001
LOGON,0.346
WEELS,1.0
LEFTS,0.826
GROVE,0.066
HUNKY,0.681
PETER,0.017
SOREX,1.0
ONELY,0.769
HINNY,1.0
FOLIE,0.691
BROSE,0.859
GADJO,1.0
WASTE,0.024
CLASH,0.283
BALOI,1.0
FIATS,1.0
LAIGH,1.0
SILLS,0.669
HOCUS,0.693
PENSY,1.0
OULKS,1.0
DRUID,0.588
TIDDY,1.0
FILAR,1.0
OXMEN,1.0
SPUME,1.0
BARMS,1.0
HERBY,0.708
SPAZZ,1.0
SNITS,1.0
SINGS,0.367
TURDS,0.7
STIVE,1.0
SESEY,1.0
REIKS,1.0
BOTEW,1.0
MACAS,1.0
CLOAK,0.558
LOCUM,0.682
PARDS,1.0
FOVEA,0.815
GROTS,1.0
YEESH,0.896
WALER,1.0
NUDDY,1.0
WUDUS,1.0
BEARE,0.698
CAVED,0.691
UNSAY,1.0
TECUM,0.854
MYTHI,1.0
LUCES,0.893
RONNE,0.872
GELDS,1.0
FIERI,1.0
HYENA,0.682
DUNNO,0.509
SCULP,1.0
BROCK,0.41
NITTO,0.693
GEEKS,0.369
TIRRS,1.0
DORES,0.893
ERING,0.698
LIMPA,1.0
METIC,1.0
ABERS,1.0
BEGUN,0.116
GIMPY,1.0
POSCA,1.0
STOLN,1.0
TUPLE,0.566
RAMUS,0.762
MAHEM,1.0
EXPOS,0.599
HENCE,0.067
ANTED,1.0
FUBSY,1.0
QUIBS,1.0
CHIMO,1.0
FERNS,0.635
FOSSE,0.686
SCOWL,0.698
AVERS,0.699
HURRY,0.283
GYRED,1.0
MESEM,1.0
GRAND,0.018
FAUTS,1.0
ADAPT,0.214
TAPUS,1.0
RUACH,1.0
JEUNE,0.652
GLUME,0.869
FIQHS,1.0
HUNDO,1.0
COUGH,0.29
SEISM,1.0
NINJA,0.225
CROSS,0.013
SUETE,1.0
LOTAS,1.0
BONDS,0.065
JUGUM,1.0
BRAYS,1.0
OLDLY,1.0
BANGS,0.589
GUNGE,1.0
DENSE,0.191
IMIDO,1.0
ELOPS,1.0
GUNDI,1.0
ROLLS,0.108
TAYRA,1.0
NABBY,1.0
HYPHA,1.0
RIBAS,0.698
TARZY,1.0
WAZOO,0.728
STYES,1.0
RAYAS,1.0
MAYST,1.0
SKIER,0.62
SLUMP,0.618
RILES,0.782
MUDAR,1.0
POWAN,1.0
SEIRS,1.0
RARES,0.692
FANAL,1.0
ABURA,1.0
YABBA,0.862
AGUTI,1.0
HEATY,1.0
PIRLS,1.0
TONED,0.611
UNITS,0.018
NIVAL,1.0
POWNY,1.0
RYBAT,1.0
POULT,1.0
RAWKS,1.0
MEUMS,1.0
SOBER,0.534
BOERS,0.698
GHAST,0.694
GRAPY,1.0
MOTON,1.0
ACKER,0.677
ROHES,1.0
PILCH,0.83
SNARF,0.7
WEXES,1.0
ASPIC,0.882
TASSA,0.758
HIOIS,1.0
CLOYS,1.0
RATIO,0.038
SIPED,1.0
AMICE,1.0
PATIA,1.0
GAWKY,1.0
CRAWS,1.0
BUNAS,1.0
KUZUS,1.0
DETAG,1.0
TEAED,1.0
ORPED,1.0
SMERK,1.0
GYRON,1.0
HASKS,1.0
NETTS,1.0
NIFFS,1.0
HOPED,0.197
BOKOS,1.0
RISEN,0.382
ZANZE,1.0
GRIPY,1.0
HECHT,0.661
DUPLE,1.0
CRATE,0.428
MAHRS,1.0
COLAS,0.695
SOLAR,0.049
EDEMA,0.619
TULSI,0.807
COUCH,0.218
HASTA,0.651
EQUES,1.0
DOPER,1.0
LOKES,1.0
FLOUT,0.81
FRIZE,1.0
THEWY,1.0
TZARS,1.0
BLOWS,0.391
SCRIP,0.676
ARCED,1.0
SIXTY,0.206
IZARS,1.0
BIOME,0.692
KIKES,1.0
VERST,1.0
TRIFA,1.0
GYPPO,1.0
ONIUM,1.0
SOWFS,1.0
CROFT,0.556
TANHS,1.0
CANSO,1.0
LABRA,1.0
BORDS,1.0
LILOS,1.0
STICH,0.695
HANGI,1.0
ARARS,1.0
HULES,1.0
BOCCA,0.693
BIDIS,1.0
WEEPS,0.681
NEVEL,1.0
CAMIS,0.75
IRATE,0.684
RASAM,1.0
BARBY,0.819
CAMPS,0.085
NOMOS,0.726
ADIEU,0.682
FURZE,1.0
ASSOT,1.0
HAMED,0.696
SPRIT,0.743
MINGI,1.0
ELBOW,0.287
KRIOL,1.0
FAWNS,0.801
GURRY,1.0
RUDDS,1.0
NOELS,1.0
SEARS,0.204
SKYEY,1.0
SETER,1.0
SHOUD,0.726
ENTRE,0.468
INKLE,1.0
CANTY,0.699
JELLO,0.638
CONEX,1.0
IORAS,1.0
ONERY,1.0
BRIOS,1.0
TSUBA,1.0
KOTOS,1.0
ANILE,1.0
QUEYU,1.0
REDON,0.824
WRICK,1.0
VEINS,0.438
BLITE,1.0
BARES,0.688
JIVED,1.0
AMBER,0.09
NAPES,1.0
EWEST,1.0
THORN,0.561
MATRA,0.687
LETHE,0.892
MAKES,0.011
AZYME,1.0
CAXON,1.0
RAIRD,1.0
UNKET,1.0
UNAGI,1.0
DEXIE,1.0
CHOSE,0.106
ALICK,1.0
ROOPY,1.0
BUCHU,1.0
LORAN,0.687
PULPS,0.697
PASAG,1.0
OINTS,1.0
RITES,0.564
KIVAS,1.0
FARCE,0.634
GARES,1.0
RANNS,1.0
AYGRE,1.0
TOPOS,0.699
SAMEN,0.783
INDIE,0.129
RARER,0.679
ALKYL,0.643
SURAS,1.0
COMMO,0.872
LYNES,1.0
WARBY,1.0
ABBES,1.0
TASES,1.0
NOBBY,0.698
ILIAL,1.0
SCATS,0.842
PAULS,0.619
BERGS,0.868
BROND,1.0
AERIE,0.699
DROSS,0.694
CUTIN,1.0
PEARE,1.0
BARGE,0.572
POGOS,1.0
SCRAP,0.266
NINNY,1.0
STELA,0.889
FIDES,0.687
CALLA,0.649
PYXED,1.0
LOUGH,0.67
SCRAG,1.0
PANNI,1.0
SHRUB,0.557
AIMER,0.713
SKYED,1.0
TRIES,0.121
SOILY,1.0
HIJAB,0.68
CUBER,1.0
GUANS,1.0
SUPRA,0.231
RHIES,1.0
KECKS,1.0
SPADO,1.0
SMELT,0.679
WHEAT,0.115
SIRIS,0.887
APSOS,1.0
FLEUR,0.599
PIGHT,1.0
FYCES,1.0
SPURS,0.436
PELFS,1.0
ANENT,1.0
KNIVE,0.865
TAWSE,1.0
ADVEW,1.0
CROOL,1.0
DWANG,1.0
CRANK,0.458
SCALP,0.568
PINCE,1.0
FRAPS,0.794
OPINE,0.7
NATYA,1.0
FIRED,0.125
CHELA,0.699
YARTA,1.0
SOWER,0.696
AVAST,0.663
SWOTS,1.0
LOBOS,0.642
BOARD,0.005
FOEHN,1.0
CITER,1.0
OVOLO,1.0
SAROS,1.0
TAWAI,1.0
SPEER,0.668
RELAY,0.108
RETRY,0.614
SPANE,1.0
FELIX,0.313
SIMPS,1.0
GAVOT,1.0
MEINT,1.0
VIZIR,1.0
FAXES,0.295
SPITE,0.223
BATES,0.285
MODGE,1.0
TRACK,0.009
AFROS,1.0
RESAY,1.0
DAUBS,1.0
IMAUM,1.0
HILAR,1.0
PERIL,0.578
CALPS,1.0
WAVEY,1.0
GOAVE,1.0
BENNI,0.697
POBBY,1.0
PATTE,1.0
HEILS,1.0
AMORT,0.891
SIGHT,0.075
ROADS,0.066
BIDER,1.0
LEECH,0.637
SIPPY,0.7
FUTON,0.576
OWRIE,1.0
REGIE,0.725
GAMIN,0.696
GRIMY,0.696
POLYS,0.706
JIFFY,0.66
WADGE,1.0
CLIMB,0.176
CHIEF,0.022
PLAYA,0.269
MILTZ,1.0
SELLE,0.678
BIALY,1.0
ZINKE,1.0
COULD,0.003
GOBIS,1.0
ROADY,0.697
PIMPS,0.662
GENIN,1.0
PECKE,1.0
ARDEB,1.0
XYLAN,1.0
PILEY,1.0
COMER,0.649
BIMBO,0.65
CARED,0.429
HUSKS,0.695
SIRUP,1.0
BIDET,0.675
DRAPE,0.659
FLAIL,0.694
EXEAT,1.0
BORAK,1.0
ZILLA,0.678
PELLS,1.0
GRITH,1.0
LANKY,0.695
GYNAE,1.0
BYSSI,1.0
INCUS,1.0
SOCKS,0.116
VAPER,1.0
FOHNS,1.0
PUNNY,1.0
TELOS,0.687
HAPAS,1.0
THEIR,0.001
RUNNY,0.67
ZONAL,0.654
CLASS,0.005
CYMOL,1.0
SQUAB,0.897
PYGMY,0.666
NONET,1.0
CHOKO,1.0
NUDIE,0.695
VOLVE,1.0
VIFFS,1.0
GOWFS,1.0
CHUFF,1.0
LOPER,0.76
PARER,1.0
BINGS,1.0
POGUE,0.678
KNOWN,0.012
SOOMS,1.0
NUNUS,1.0
KEDGE,1.0
CUTES,1.0
GAZED,0.652
STEAM,0.09
ZORIS,1.0
ULNAE,1.0
NICER,0.58
VIVES,0.698
POGGY,1.0
KITER,1.0
COWPS,1.0
PONZU,1.0
EPHOD,1.0
WINDY,0.462
TESTA,0.681
ENVOI,0.751
JERID,1.0
GLOZE,1.0
ESTOP,1.0
COALS,0.659
RUNED,1.0
PLUPS,1.0
CLICK,0.002
WRAPS,0.36
WIGGY,0.862
RADGE,1.0
CHOUT,1.0
ALTAR,0.381
DEBUR,1.0
SWOOP,0.661
SETAL,1.0
SCENT,0.305
PEARL,0.053
HAKEA,1.0
OMDDA,1.0
WYLES,1.0
FLUNG,0.622
KERBS,0.835
NONIS,1.0
BENES,0.71
MATSU,0.749
FLISK,1.0
SWAPS,0.595
DERNY,1.0
SLUNK,1.0
YACKA,1.0
TWIRP,1.0
VIRUS,0.028
MECHA,0.647
FRENA,1.0
DONNY,0.645
GEARS,0.381
ULPAN,1.0
RIEMS,1.0
PRANA,0.663
RETIP,1.0
SPECK,0.631
WHANG,0.893
BORON,0.619
QUELL,0.68
SNIPS,0.676
FONTS,0.084
KANGS,1.0
RAFIK,0.699
AWARN,1.0
PUKES,1.0
ELPEE,1.0
SKUAS,1.0
BANES,0.725
FLACK,0.667
BLASH,1.0
EAGER,0.239
ARIEL,0.366
SKERS,1.0
PIOUS,0.636
UNMAN,1.0
BINDI,0.695
BAELS,1.0
HORNS,0.412
LEXES,1.0
KYANG,1.0
VOCES,0.812
FRUIT,0.044
IOTAS,1.0
SERRS,1.0
BORKS,1.0
NANDU,1.0
TENTH,0.301
QUOIF,1.0
TOYOS,1.0
MERLS,1.0
CAMPO,0.58
SMOGS,1.0
DRAMA,0.048
OUTDO,0.695
FANGA,1.0
WOODS,0.068
YARCO,1.0
SNAKY,1.0
FADER,0.662
FENDS,1.0
SOGER,1.0
OXERS,1.0
BEEDI,1.0
USAGE,0.039
LENDS,0.598
STEWS,0.656
PRAWN,0.657
TAULD,1.0
BLURS,0.682
YIRTH,1.0
KIOSK,0.52
GREPS,1.0
SPACK,1.0
PAOLI,0.673
RAIDS,0.582
MUSAR,1.0
GLOAM,1.0
NORIA,1.0
SULUS,1.0
ELAIN,1.0
ANKLE,0.241
BIFFO,1.0
SCUFT,1.0
NURDS,1.0
HAULM,1.0
AYAHS,1.0
BEGIN,0.022
LAXER,1.0
DEBUT,0.138
RASPS,0.871
CARDI,0.696
TOZES,1.0
SONSY,1.0
ACCOY,1.0
LOSER,0.395
SHIVE,0.698
WERFS,1.0
ARTLY,1.0
KYNDS,1.0
HEALS,0.64
RINCE,1.0
ARPEN,1.0
SABER,0.6
TALCY,1.0
SLANG,0.519
MECUM,0.725
APERT,1.0
FLIES,0.204
SKINS,0.136
LOZEN,1.0
REVEL,0.653
POOPA,1.0
BUTUT,1.0
IDOLA,1.0
KHOUM,1.0
KIPAS,1.0
SENSA,0.743
POLES,0.245
DOMIC,1.0
YORKS,0.665
TOWSY,1.0
ENZYM,1.0
MUSTH,1.0
UHLAN,1.0
CRIME,0.025
GULLS,0.659
HAMMY,0.749
YRNEH,1.0
OVULE,1.0
ABODE,0.579
WIFES,0.651
ZAMAK,1.0
PAYED,0.676
FERNY,0.747
CHEFS,0.444
EMBOX,1.0
GLOMS,1.0
ORATE,1.0
MRADS,1.0
TUFTY,1.0
BLAWN,1.0
LOUED,1.0
OWARI,1.0
LIANA,0.69
LACKA,1.0
FUSES,0.607
JENNY,0.163
GREGE,1.0
SCUTA,1.0
GENTS,0.58
UNLET,1.0
SEAZE,1.0
RABIS,1.0
FUZES,1.0
KAIKA,1.0
BANYA,0.849
