Word,LFS,PLFS,RLP,HLT,MatchReduction,AvgElimination,FeedbackGreen,FeedbackYellow,FeedbackGray
MANKY,0.674,0.407,0.0,0.766,57.413,13391.467,0.04,0.173,0.787
OVISM,0.575,0.726,0.0,0.589,106.187,13979.8,0.093,0.12,0.787
MATLO,0.504,0.487,0.0,0.34,102.306,14245.733,0.053,0.28,0.667
CEASE,0.19,0.418,1.0,0.083,1010.08,13423.467,0.24,0.147,0.613
PERAE,0.271,0.344,1.0,0.52,240.737,13656.133,0.133,0.24,0.627
SIXES,0.351,0.26,1.0,0.844,33.362,13531.667,0.067,0.213,0.72
PUBCO,0.758,0.647,0.0,0.922,80.347,13979.467,0.067,0.093,0.84
YAPPY,0.687,0.606,1.0,0.924,25.318,13122.533,0.053,0.12,0.827
FAMED,0.547,0.398,0.0,0.308,37.804,14050.467,0.08,0.227,0.693
HEXED,0.581,0.536,1.0,0.567,20.347,13841.0,0.027,0.16,0.813
BAWRS,0.508,0.371,0.0,0.897,77.636,13213.933,0.067,0.253,0.68
DECRY,0.594,0.571,0.0,0.444,195.023,13735.867,0.04,0.267,0.693
IDDAH,0.614,0.778,1.0,0.859,109.122,14104.8,0.04,0.24,0.72
DIXIT,0.729,0.652,1.0,0.877,97.965,13912.0,0.093,0.12,0.787
CASED,0.348,0.354,0.0,0.084,125.595,13538.2,0.08,0.333,0.587
RUPIA,0.526,0.617,0.0,0.807,229.663,14282.4,0.053,0.307,0.64
TOIDY,0.632,0.429,0.0,0.759,295.37,14244.067,0.093,0.173,0.733
HODAD,0.586,0.544,1.0,0.465,73.628,13928.133,0.04,0.2,0.76
YUKES,0.517,0.425,0.0,0.935,15.622,13236.133,0.027,0.213,0.76
GAFFE,0.615,0.588,1.0,0.835,98.755,13696.733,0.133,0.16,0.707
ANNOY,0.522,0.568,1.0,0.631,38.074,13632.867,0.027,0.213,0.76
LEUGH,0.646,0.619,0.0,0.79,238.106,14036.8,0.053,0.2,0.747
HOWAY,0.651,0.537,0.0,0.513,22.73,13871.0,0.027,0.2,0.773
PIXEL,0.634,0.499,0.0,0.955,34.646,13978.467,0.04,0.227,0.733
LINGA,0.558,0.564,0.0,0.093,46.613,14124.333,0.013,0.32,0.667
BAYOU,0.596,0.574,0.0,0.473,78.653,13635.467,0.053,0.173,0.773
LURGY,0.724,0.517,0.0,0.883,36.763,14192.733,0.027,0.173,0.8
LEARS,0.231,0.323,0.0,0.071,285.593,13378.533,0.093,0.373,0.533
SCRAT,0.408,0.447,0.0,0.335,1749.446,13774.667,0.107,0.36,0.533
PRIZE,0.596,0.526,0.0,0.8,126.542,14154.2,0.2,0.12,0.68
HOMES,0.432,0.272,0.0,0.071,52.767,13877.267,0.053,0.24,0.707
SCROO,0.422,0.499,1.0,0.554,136.499,13698.333,0.067,0.2,0.733
EGEST,0.318,0.725,1.0,0.157,166.099,14152.2,0.093,0.24,0.667
MOPUS,0.569,0.405,0.0,0.613,33.716,13541.2,0.027,0.16,0.813
VERBS,0.508,0.408,0.0,0.622,36.978,13284.6,0.027,0.28,0.693
MAPLE,0.472,0.475,0.0,0.355,99.255,13835.133,0.133,0.2,0.667
BARFS,0.504,0.262,0.0,0.843,43.009,13562.133,0.067,0.267,0.667
JUDGE,0.736,0.684,0.0,0.924,58.245,13794.6,0.12,0.08,0.8
SALLE,0.262,0.31,1.0,0.112,614.27,13332.267,0.187,0.187,0.627
SHINE,0.424,0.434,0.0,0.093,144.979,14506.133,0.227,0.147,0.627
ZINEB,0.658,0.5,0.0,0.578,27.291,14018.8,0.027,0.24,0.733
FLEXO,0.646,0.695,0.0,0.94,41.653,13772.8,0.053,0.16,0.787
GISMO,0.539,0.651,0.0,0.597,81.648,13846.8,0.027,0.213,0.76
REARS,0.199,0.302,1.0,0.029,312.969,13221.4,0.12,0.307,0.573
KHADS,0.548,0.46,0.0,0.808,34.208,14121.8,0.067,0.213,0.72
BEGUM,0.696,0.63,0.0,0.785,33.368,13887.067,0.04,0.16,0.8
GLADE,0.48,0.536,0.0,0.54,148.113,14095.267,0.187,0.16,0.653
IMAMS,0.457,0.527,1.0,0.579,41.834,14080.0,0.067,0.24,0.693
STRAD,0.391,0.439,0.0,0.167,275.495,13972.867,0.067,0.373,0.56
VENAE,0.367,0.48,1.0,0.916,76.223,13763.133,0.107,0.2,0.693
SKENE,0.329,0.496,1.0,0.499,85.995,13849.0,0.173,0.08,0.747
MOTEN,0.503,0.37,0.0,0.101,62.195,14132.4,0.04,0.293,0.667
RUGBY,0.789,0.648,0.0,0.96,62.517,14169.533,0.053,0.12,0.827
GOELS,0.391,0.324,0.0,0.783,33.889,13631.733,0.027,0.28,0.693
KHAZI,0.722,0.674,0.0,0.983,38.878,14288.733,0.067,0.187,0.747
BELIT,0.54,0.48,0.0,0.142,236.378,14160.267,0.107,0.253,0.64
SMOLT,0.498,0.517,0.0,0.714,285.606,14198.667,0.093,0.187,0.72
MORIN,0.573,0.397,0.0,0.034,104.878,14218.4,0.053,0.227,0.72
OFAYS,0.469,0.545,0.0,0.613,35.726,14123.867,0.067,0.213,0.72
SURAL,0.383,0.372,0.0,0.186,106.932,13442.8,0.067,0.307,0.627
JANNY,0.686,0.47,1.0,0.761,30.078,13459.867,0.08,0.12,0.8
SHORT,0.481,0.492,0.0,0.19,224.875,14474.533,0.107,0.253,0.64
SWISH,0.508,0.55,1.0,0.509,111.886,14117.133,0.16,0.04,0.8
HAETS,0.324,0.309,0.0,0.653,578.613,14175.467,0.067,0.413,0.52
OWNED,0.579,0.541,0.0,0.47,50.584,13527.867,0.013,0.227,0.76
MUSKY,0.686,0.579,0.0,0.957,18.386,13114.667,0.013,0.12,0.867
GIMPS,0.632,0.477,0.0,0.815,60.254,13819.8,0.04,0.187,0.773
NODES,0.371,0.296,0.0,0.182,58.233,13695.733,0.067,0.253,0.68
LEFTY,0.627,0.604,0.0,0.537,215.4,14043.0,0.04,0.253,0.707
FURCA,0.638,0.547,0.0,0.583,253.485,13714.067,0.067,0.253,0.68
EXOME,0.483,0.678,1.0,0.822,21.385,13579.0,0.093,0.08,0.827
DRIBS,0.546,0.443,0.0,0.838,121.808,14090.467,0.107,0.187,0.707
GOUKS,0.61,0.383,0.0,0.882,25.957,13530.267,0.04,0.133,0.827
SMEWS,0.39,0.428,1.0,0.698,23.621,13114.0,0.04,0.173,0.787
MUNTS,0.585,0.339,0.0,0.426,42.212,14316.733,0.04,0.24,0.72
CHIRO,0.628,0.581,0.0,0.283,174.661,14561.333,0.107,0.2,0.693
LEARN,0.359,0.494,0.0,0.164,406.855,13982.0,0.093,0.347,0.56
MOCUS,0.575,0.399,0.0,0.621,26.931,13813.2,0.027,0.187,0.787
SLIME,0.4,0.456,0.0,0.493,220.817,14312.0,0.213,0.12,0.667
MOKIS,0.543,0.375,0.0,0.655,37.375,13753.067,0.04,0.173,0.787
NEVIS,0.464,0.482,0.0,0.279,33.213,14059.133,0.04,0.293,0.667
ARCUS,0.434,0.513,0.0,0.449,464.629,13482.133,0.067,0.32,0.613
PRIGS,0.555,0.379,0.0,0.547,109.152,14229.733,0.107,0.2,0.693
RENTE,0.351,0.441,1.0,0.003,355.908,14230.333,0.16,0.213,0.627
YFERE,0.47,0.683,1.0,0.397,66.792,13777.8,0.107,0.133,0.76
HIKER,0.569,0.535,0.0,0.523,46.809,14175.933,0.027,0.307,0.667
CRAME,0.447,0.492,0.0,0.356,597.592,13481.4,0.227,0.187,0.587
IRKED,0.545,0.614,0.0,0.591,142.348,13807.4,0.053,0.267,0.68
NAIRA,0.35,0.468,1.0,0.838,205.813,14250.533,0.12,0.24,0.64
STIRE,0.325,0.466,0.0,0.035,763.433,14096.067,0.213,0.267,0.52
NAGAS,0.347,0.377,1.0,0.86,30.434,13876.867,0.067,0.227,0.707
PEISY,0.445,0.438,0.0,0.59,221.701,14142.2,0.12,0.2,0.68
MISER,0.369,0.443,0.0,0.059,62.314,14006.0,0.027,0.36,0.613
VIVDA,0.719,0.722,1.0,0.852,33.298,13477.467,0.013,0.227,0.76
DOLIE,0.46,0.427,0.0,0.374,183.818,14052.6,0.16,0.147,0.693
WEAVE,0.446,0.515,1.0,0.348,83.241,13136.733,0.173,0.08,0.747
UMBEL,0.632,0.677,0.0,0.63,119.767,13343.8,0.013,0.2,0.787
BARMY,0.629,0.377,0.0,0.68,35.488,13493.8,0.067,0.2,0.733
LOUNS,0.488,0.365,0.0,0.258,80.048,13745.733,0.08,0.16,0.76
DIDOS,0.499,0.459,1.0,0.496,162.033,13497.667,0.04,0.187,0.773
VIOLD,0.683,0.576,0.0,0.434,78.615,13680.667,0.013,0.173,0.813
FOWTH,0.805,0.596,0.0,0.535,178.486,14238.6,0.093,0.107,0.8
GUQIN,0.821,0.702,0.0,0.997,48.998,13968.8,0.027,0.16,0.813
KAYOS,0.451,0.447,0.0,0.765,16.687,13475.6,0.04,0.227,0.733
FINCA,0.631,0.564,0.0,0.163,106.934,14159.867,0.053,0.28,0.667
TATHS,0.45,0.365,1.0,0.255,63.03,14002.0,0.067,0.293,0.64
ELIAD,0.396,0.587,0.0,0.309,448.094,14167.133,0.08,0.32,0.6
DORTS,0.456,0.253,0.0,0.226,86.294,14015.667,0.08,0.267,0.653
COOEY,0.495,0.271,1.0,0.752,41.006,13611.4,0.067,0.16,0.773
DICTY,0.731,0.572,0.0,0.326,195.631,14331.2,0.053,0.227,0.72
BOBAK,0.653,0.525,1.0,0.831,15.43,13214.533,0.04,0.147,0.813
LOWSE,0.415,0.574,0.0,0.499,179.76,13622.2,0.16,0.12,0.72
TUILE,0.504,0.473,0.0,0.519,191.53,14314.6,0.173,0.2,0.627
LAKED,0.484,0.437,0.0,0.512,58.759,13552.733,0.053,0.267,0.68
TARTS,0.359,0.215,1.0,0.148,163.349,13607.6,0.093,0.32,0.587
REEFY,0.47,0.53,1.0,0.637,35.701,13635.8,0.04,0.2,0.76
AGAMA,0.389,0.613,1.0,0.474,35.812,13945.533,0.093,0.08,0.827
THING,0.733,0.601,0.0,0.005,329.222,14537.333,0.12,0.187,0.693
SHORE,0.355,0.449,0.0,0.068,193.453,14381.933,0.147,0.227,0.627
NICKS,0.607,0.512,0.0,0.602,44.574,14125.4,0.027,0.24,0.733
NUNNY,0.721,0.539,1.0,0.841,38.971,13670.067,0.067,0.027,0.907
AKOYA,0.458,0.675,1.0,0.972,26.417,13425.4,0.027,0.16,0.813
SNAWS,0.366,0.36,1.0,0.987,56.909,13655.867,0.107,0.16,0.733
WRITS,0.537,0.419,0.0,0.517,138.257,14055.2,0.12,0.24,0.64
DOUBT,0.699,0.563,0.0,0.88,138.039,14096.467,0.107,0.107,0.787
ALIVE,0.46,0.573,0.0,0.188,248.519,14197.267,0.2,0.173,0.627
BEAUT,0.476,0.466,0.0,0.444,326.257,14090.533,0.147,0.253,0.6
IBRIK,0.677,0.676,1.0,0.866,40.16,13885.6,0.027,0.16,0.813
HEMPS,0.525,0.476,0.0,0.486,512.976,13824.867,0.04,0.24,0.72
TOWED,0.571,0.429,0.0,0.221,44.917,13805.867,0.053,0.24,0.707
CROUT,0.619,0.57,0.0,0.352,419.298,14255.333,0.12,0.2,0.68
MOGUL,0.707,0.58,0.0,0.783,33.28,13964.733,0.04,0.107,0.853
HALID,0.579,0.471,0.0,0.174,88.55,14183.0,0.067,0.253,0.68
PECKY,0.704,0.542,0.0,0.814,57.314,13564.867,0.027,0.187,0.787
ECHED,0.516,0.683,1.0,0.051,45.648,14129.933,0.013,0.227,0.76
MUSIT,0.554,0.575,0.0,0.36,81.641,14368.533,0.08,0.227,0.693
COUTH,0.711,0.492,0.0,0.051,138.846,14520.467,0.12,0.147,0.733
ACRON,0.486,0.589,0.0,0.22,267.092,13906.133,0.04,0.333,0.627
DYNES,0.466,0.327,0.0,0.722,69.21,13669.533,0.04,0.253,0.707
GOTHY,0.741,0.538,0.0,0.571,368.758,14275.533,0.04,0.187,0.773
BUNDY,0.801,0.501,0.0,0.668,44.583,13694.0,0.027,0.107,0.867
SEEPS,0.177,0.279,1.0,0.539,29.929,13412.333,0.067,0.16,0.773
DEEPS,0.331,0.391,1.0,0.573,26.095,13640.467,0.04,0.213,0.747
PLENE,0.425,0.511,1.0,0.126,98.142,14077.467,0.173,0.067,0.76
KUKUS,0.691,0.56,1.0,0.993,11.874,12757.2,0.013,0.093,0.893
PETRE,0.386,0.475,1.0,0.131,250.699,14045.333,0.133,0.213,0.653
PUTTO,0.647,0.55,1.0,0.492,118.89,14210.333,0.067,0.133,0.8
DARLS,0.389,0.246,0.0,0.545,57.214,13618.333,0.067,0.307,0.627
WARPS,0.488,0.314,0.0,0.728,39.791,13565.6,0.067,0.267,0.667
SHOJI,0.605,0.572,0.0,0.968,41.966,14126.133,0.04,0.2,0.76
EMOJI,0.586,0.762,0.0,0.969,31.614,13835.933,0.0,0.253,0.747
HIKED,0.636,0.529,0.0,0.625,41.261,14080.067,0.027,0.24,0.733
OMITS,0.478,0.489,0.0,0.236,169.284,14266.333,0.08,0.24,0.68
RAINY,0.509,0.394,0.0,0.287,340.609,14261.333,0.16,0.213,0.627
FILLS,0.563,0.393,1.0,0.441,39.923,13564.867,0.04,0.173,0.787
ZINES,0.474,0.303,0.0,0.286,27.246,13876.467,0.027,0.307,0.667
BORES,0.36,0.102,0.0,0.03,32.789,13555.933,0.067,0.28,0.653
ALGOR,0.489,0.677,0.0,0.623,76.509,14165.867,0.067,0.267,0.667
OLIVA,0.536,0.675,0.0,0.528,128.692,13878.6,0.08,0.213,0.707
MIDGE,0.618,0.58,0.0,0.748,112.728,14127.0,0.12,0.147,0.733
VIZOR,0.726,0.723,0.0,0.849,45.664,13827.867,0.013,0.2,0.787
HAFTA,0.539,0.584,1.0,0.554,206.024,13968.0,0.067,0.227,0.707
MULLA,0.578,0.533,1.0,0.556,32.865,13308.133,0.027,0.187,0.787
PALED,0.461,0.282,0.0,0.091,94.969,14055.333,0.08,0.267,0.653
KNEED,0.483,0.534,1.0,0.511,24.544,13494.2,0.013,0.187,0.8
FIBRE,0.591,0.603,0.0,0.608,118.227,14038.8,0.133,0.187,0.68
PTISH,0.585,0.608,0.0,0.327,1477.256,14462.333,0.147,0.187,0.667
REDAN,0.395,0.565,0.0,0.024,142.697,13947.8,0.053,0.373,0.573
EXODE,0.473,0.67,1.0,0.892,29.652,13428.733,0.093,0.093,0.813
ZORRO,0.567,0.521,1.0,0.705,37.963,13398.333,0.067,0.067,0.867
DROLL,0.572,0.58,1.0,0.435,58.518,13774.867,0.053,0.147,0.8
NIECE,0.411,0.563,1.0,0.278,140.851,14239.4,0.147,0.16,0.693
SEGNO,0.401,0.506,0.0,0.606,180.567,14117.667,0.12,0.2,0.68
SCEAT,0.316,0.498,0.0,0.14,864.493,13770.8,0.093,0.4,0.507
TUNES,0.415,0.229,0.0,0.201,55.654,14288.267,0.04,0.347,0.613
MOMPE,0.582,0.504,1.0,0.446,49.301,13669.2,0.147,0.053,0.8
RADON,0.47,0.543,0.0,0.189,153.947,13882.2,0.08,0.267,0.653
AKKAS,0.409,0.535,1.0,0.978,24.847,12863.733,0.027,0.187,0.787
JOWLY,0.819,0.61,0.0,0.939,16.442,13377.2,0.027,0.067,0.907
